s,s,kW,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C
321,32.1,2018.39,2057.01,8.71,6.09,4.48,3.56,2.26,2.1,23.34
322,32.2,2090.91,2056.85,8.88,6.5,4.5,3.57,2.28,2.11,23.32
323,32.3,2148.77,2056.99,8.93,6.31,4.54,3.62,2.28,2.12,23.31
324,32.4,2191.16,2056.66,8.71,6.09,4.45,3.61,2.35,2.11,23.32
325,32.5,2206.41,2056.8,8.55,5.76,4.39,3.53,2.35,2.11,23.34
326,32.6,2200.79,2056.34,8.39,5.33,4.26,3.35,2.21,2.01,23.33
327,32.7,2166.29,2056.64,8.44,5.53,4.35,3.43,2.2,2.06,23.32
328,32.8,2119.25,2056.09,8.68,6.11,4.53,3.62,2.33,2.2,23.31
329,32.9,2082.36,2056.64,8.64,6.22,4.53,3.7,2.34,2.2,23.3
330,33,2045.46,2056.24,9,6.38,4.6,3.75,2.36,2.22,23.3
331,33.1,2012.84,2057.4,8.76,6.11,4.35,3.61,2.23,2.1,23.29
332,33.2,1995.02,2056.88,8.89,6.15,4.54,3.68,2.31,2.16,23.29
333,33.3,1988.75,2056.48,8.92,6.13,4.6,3.74,2.37,2.24,23.29
334,33.4,1964.29,2056.67,9.21,6.32,4.67,3.75,2.36,2.28,23.29
335,33.5,1981.07,2056.49,9.26,6.34,4.67,3.79,2.39,2.31,23.3
336,33.6,2006.57,2056.34,9.05,6.39,4.67,3.82,2.43,2.28,23.31
337,33.7,2029.16,2055.32,8.85,6.23,4.62,3.75,2.38,2.25,23.31
338,33.8,2057.58,2056.73,8.6,5.91,4.42,3.61,2.25,2.12,23.33
339,33.9,2069.07,2055.11,8.69,6.1,4.32,3.51,2.12,2.02,23.34
340,34,2067.3,2055.07,8.97,6.23,4.5,3.6,2.19,2.09,23.35
341,34.1,2042.55,2056.2,9.05,6.38,4.59,3.7,2.27,2.15,23.36
342,34.2,2031.68,2057.31,9.05,6.44,4.66,3.78,2.36,2.2,23.36
343,34.3,2032.64,2056.78,9.1,6.4,4.73,3.81,2.44,2.24,23.36
344,34.4,2050.01,2055.94,8.98,6.16,4.63,3.78,2.48,2.27,23.35
345,34.5,2072.46,2057.09,9.12,6.03,4.67,3.7,2.45,2.22,23.35
346,34.6,2077,2056.93,9.02,5.74,4.57,3.6,2.37,2.15,23.36
347,34.7,2066.02,2056.66,8.92,6.09,4.54,3.68,2.33,2.19,23.36
348,34.8,2044.18,2055.96,8.81,6.35,4.57,3.74,2.32,2.2,23.36
349,34.9,2021.59,2057.15,9.01,6.32,4.63,3.74,2.37,2.22,23.37
350,35,2020.47,2056.37,8.88,5.9,4.56,3.62,2.37,2.16,23.34
351,35.1,2021.88,2055.41,8.93,6.07,4.63,3.68,2.41,2.19,23.32
352,35.2,2051.42,2056.21,9.19,6.22,4.7,3.81,2.48,2.24,23.31
353,35.3,2068.32,2056.18,8.89,5.87,4.51,3.65,2.37,2.17,23.3
354,35.4,2072.87,2056.23,8.94,5.98,4.5,3.65,2.3,2.18,23.29
355,35.5,2068.59,2057.1,9.05,6.35,4.54,3.7,2.3,2.22,23.3
356,35.6,2051.44,2056.1,9.39,6.69,4.82,3.92,2.43,2.36,23.32
357,35.7,2059.31,2056.53,9.19,6.52,4.79,3.92,2.48,2.36,23.34
358,35.8,2044.17,2056.46,9.15,6.28,4.67,3.78,2.39,2.26,23.34
359,35.9,2017.92,2055.77,9.3,6.51,4.69,3.83,2.39,2.26,23.36
360,36,1997.4,2055.57,9.23,6.61,4.7,3.94,2.43,2.33,23.37
361,36.1,1988.94,2056.39,8.89,6.26,4.38,3.68,2.26,2.15,23.37
362,36.2,1982.94,2056.18,8.79,5.97,4.34,3.52,2.22,2.08,23.39
363,36.3,1982.03,2055.57,8.61,6.1,4.39,3.56,2.31,2.14,23.41
364,36.4,1986.73,2055.76,8.6,5.81,4.39,3.52,2.34,2.15,23.45
365,36.5,1989.84,2056.58,8.93,6.05,4.63,3.7,2.43,2.2,23.48
366,36.6,1994.25,2055.13,9.33,6.32,4.81,3.85,2.48,2.26,23.48
367,36.7,2003.47,2055.82,9.14,6.16,4.6,3.69,2.36,2.16,23.47
368,36.8,2012.93,2057.21,8.88,6.14,4.32,3.6,2.24,2.08,23.48
369,36.9,2029.09,2056.16,8.76,5.99,4.28,3.53,2.2,2.04,23.5
370,37,2044.22,2055.64,8.73,5.85,4.34,3.51,2.16,2.07,23.49
371,37.1,2050.74,2055.68,8.97,5.97,4.45,3.62,2.27,2.14,23.5
372,37.2,2047.37,2056.16,8.89,6.14,4.54,3.78,2.43,2.21,23.5
373,37.3,2042.02,2056.71,8.9,6.14,4.6,3.78,2.47,2.21,23.51
374,37.4,2034.72,2056.09,9.02,5.97,4.51,3.66,2.36,2.19,23.52
375,37.5,2046.29,2056.93,9.04,6.16,4.57,3.71,2.34,2.21,23.54
376,37.6,2041.71,2056.3,8.76,6.05,4.47,3.62,2.26,2.12,23.54
377,37.7,2026.35,2056.53,8.84,6.11,4.59,3.71,2.37,2.18,23.63
378,37.8,2012.53,2055.09,9.05,6.4,4.75,3.89,2.44,2.3,23.71
379,37.9,2014.85,2057.19,8.98,6.59,4.67,3.92,2.42,2.31,23.72
380,38,2028.46,2056.55,8.97,6.39,4.56,3.85,2.4,2.26,23.73
381,38.1,2040.53,2055.22,9.15,6.27,4.65,3.92,2.51,2.37,23.82
382,38.2,2066.73,2056.57,9.17,6.47,4.76,4.03,2.56,2.43,23.91
383,38.3,2097.31,2055.44,8.71,6.03,4.51,3.77,2.42,2.26,23.86
384,38.4,2131.87,2056.14,8.82,6.07,4.62,3.78,2.44,2.26,23.83
385,38.5,2152.61,2055.22,8.57,5.91,4.48,3.7,2.4,2.25,23.82
386,38.6,2131.59,2056.09,8.52,5.83,4.44,3.65,2.35,2.21,23.83
387,38.7,2116.48,2055.53,8.73,5.95,4.54,3.69,2.42,2.21,23.82
388,38.8,2078.76,2056.4,8.81,6.07,4.62,3.74,2.42,2.25,23.81
389,38.9,2054.92,2055.32,8.92,6.24,4.66,3.79,2.4,2.27,23.79
390,39,2038.16,2055.37,9.43,6.87,4.9,4.03,2.49,2.37,23.75
391,39.1,2028.77,2055.65,9.41,6.98,4.91,4.09,2.51,2.37,23.74
392,39.2,2023.29,2056.56,9.34,6.87,4.85,4.04,2.52,2.32,23.72
393,39.3,2003.99,2056.62,9.06,6.6,4.72,3.96,2.51,2.31,23.7
394,39.4,1961.25,2056.98,8.79,6.09,4.59,3.77,2.43,2.22,23.68
395,39.5,1931.57,2056.05,8.76,5.95,4.57,3.68,2.36,2.2,23.68
396,39.6,1928.43,2055.87,8.76,6.23,4.56,3.71,2.47,2.26,23.67
397,39.7,1938.6,2055.78,8.68,6.02,4.53,3.6,2.44,2.15,23.68
398,39.8,1973.05,2055.19,9.02,6.11,4.65,3.71,2.41,2.18,23.72
399,39.9,2028.53,2055.54,8.94,6.13,4.67,3.81,2.52,2.25,23.69
400,40,2091.39,2056.87,8.86,6.09,4.62,3.74,2.42,2.21,23.67
401,40.1,2142.35,2056.59,9.05,6.18,4.73,3.79,2.47,2.23,23.67
402,40.2,2163.06,2054.52,8.86,6.07,4.7,3.77,2.46,2.24,23.68
403,40.3,2160.12,2056.51,8.53,6.01,4.56,3.68,2.42,2.19,23.68
404,40.4,2151.98,2056.39,8.67,6.34,4.57,3.62,2.42,2.17,23.68
405,40.5,2115.68,2055.88,8.9,6.1,4.63,3.73,2.54,2.24,23.68
406,40.6,2048.31,2055.44,8.89,6.13,4.67,3.77,2.58,2.27,23.67
407,40.7,1979.59,2056.6,8.68,6.03,4.51,3.61,2.38,2.16,23.65
408,40.8,1932.02,2055.75,8.92,6.52,4.62,3.7,2.33,2.19,23.65
409,40.9,1891.12,2055.47,9.02,6.31,4.62,3.73,2.37,2.21,23.67
410,41,1895.18,2056.14,9,6.24,4.65,3.77,2.41,2.23,23.68
411,41.1,1909.96,2056.04,9.34,6.63,4.79,3.91,2.4,2.31,23.68
412,41.2,1948.52,2055.18,9.29,6.67,4.79,3.91,2.41,2.3,23.67
413,41.3,1966.38,2057.28,9.29,6.43,4.81,3.89,2.46,2.32,23.67
414,41.4,1980.79,2054.71,9.22,6.39,4.84,3.89,2.5,2.34,23.63
415,41.5,2006.1,2055.81,9.15,6.3,4.85,3.83,2.45,2.32,23.62
416,41.6,2024.95,2055.32,9.35,6.53,4.88,3.98,2.55,2.37,23.64
417,41.7,2041.02,2056.26,9.08,5.98,4.59,3.69,2.41,2.23,23.66
418,41.8,2061.06,2056.24,9.14,6.09,4.63,3.66,2.37,2.22,23.66
419,41.9,2077.57,2056.11,9.38,6.39,4.73,3.79,2.39,2.25,23.68
420,42,2083.58,2056.21,9.13,6.2,4.67,3.75,2.41,2.26,23.71
421,42.1,2091.1,2055,9.1,6.24,4.67,3.79,2.45,2.29,23.72
422,42.2,2092.8,2055.34,9.15,6.6,4.73,3.87,2.45,2.29,23.72
423,42.3,2093.73,2055.23,9.29,6.72,4.66,3.87,2.37,2.24,23.75
424,42.4,2086.61,2055.43,9.19,6.55,4.53,3.77,2.28,2.21,23.77
425,42.5,2072.65,2055.29,9.35,6.68,4.65,3.79,2.33,2.26,23.77
426,42.6,2034.69,2055.4,9.23,6.59,4.48,3.74,2.28,2.17,23.79
427,42.7,2008.35,2056.39,9.02,6.23,4.34,3.58,2.16,2.06,23.81
428,42.8,2007.93,2056.08,9.15,6.05,4.44,3.54,2.23,2.08,23.8
429,42.9,2025.55,2055.01,8.86,5.97,4.41,3.53,2.2,2.07,23.76
430,43,2029.29,2055.06,8.6,5.83,4.45,3.54,2.25,2.11,23.74
431,43.1,2040.05,2056.19,8.98,6.11,4.51,3.66,2.27,2.19,23.73
432,43.2,2048.83,2055.53,8.97,6.31,4.48,3.7,2.23,2.2,23.72
433,43.3,2058,2056.8,8.73,5.9,4.37,3.58,2.2,2.12,23.72
434,43.4,2043.43,2055.03,8.9,6.28,4.34,3.6,2.17,2.08,23.69
435,43.5,2028.84,2055.98,9.17,6.24,4.48,3.58,2.2,2.11,23.65
436,43.6,2015.74,2055.73,9.37,6.34,4.57,3.68,2.23,2.19,23.65
437,43.7,2013.55,2054.55,9.34,6.2,4.69,3.69,2.37,2.21,23.66
438,43.8,1994.9,2055.22,9.17,6.31,4.63,3.68,2.34,2.16,23.67
439,43.9,1987.44,2055.75,8.93,6.16,4.53,3.57,2.25,2.12,23.67
440,44,1980.43,2056.24,9.17,6.36,4.65,3.71,2.3,2.2,23.68
441,44.1,1978.53,2055.31,9.48,6.83,4.66,3.86,2.39,2.24,23.67
442,44.2,1997.82,2054.63,9.31,6.46,4.54,3.77,2.29,2.21,23.65
443,44.3,2025.03,2055.51,9.42,6.39,4.57,3.73,2.24,2.18,23.62
444,44.4,2045.03,2055.81,9.31,6.28,4.6,3.69,2.29,2.23,23.59
445,44.5,2065.7,2055.06,9.3,6.3,4.63,3.69,2.27,2.21,23.55
446,44.6,2070.13,2056.52,9.26,6.03,4.39,3.53,2.23,2.06,23.55
447,44.7,2070.51,2056.14,9.26,6.09,4.56,3.57,2.32,2.14,23.56
448,44.8,2066.99,2055.09,9.48,6.35,4.73,3.73,2.36,2.24,23.58
449,44.9,2063.57,2055.34,9.59,6.28,4.88,3.83,2.47,2.28,23.57
450,45,2032.58,2055.82,9.33,6.22,4.85,3.89,2.57,2.31,23.56
451,45.1,2022.89,2055.01,9.09,6.06,4.67,3.82,2.45,2.31,23.54
452,45.2,1985.35,2055.71,9.05,6.22,4.65,3.83,2.37,2.26,23.53
453,45.3,1969.21,2054.72,8.79,5.95,4.47,3.66,2.24,2.15,23.52
454,45.4,1962.81,2056.5,8.93,6.16,4.59,3.7,2.24,2.16,23.52
455,45.5,1972.07,2054.89,9.47,6.47,4.79,3.79,2.38,2.24,23.52
456,45.6,1976.17,2055.12,9.59,6.65,4.91,3.91,2.44,2.35,23.51
457,45.7,2009.86,2055.31,9.46,6.68,4.88,3.96,2.49,2.36,23.52
458,45.8,2036.82,2056.83,9.38,6.68,4.81,3.91,2.45,2.33,23.52
459,45.9,2068.74,2054.83,9.1,6.42,4.57,3.73,2.32,2.19,23.53
460,46,2069.47,2056.23,9.15,6.52,4.62,3.71,2.28,2.15,23.56
461,46.1,2073.75,2055.07,9.17,6.4,4.53,3.71,2.27,2.19,23.58
462,46.2,2066.42,2055.01,9.51,6.67,4.76,3.83,2.34,2.29,23.6
463,46.3,2059.86,2054.48,9.31,6.46,4.72,3.82,2.35,2.28,23.61
464,46.4,2049.04,2053.99,8.97,6.06,4.63,3.68,2.37,2.21,23.61
465,46.5,2038.42,2056.23,8.89,6.09,4.5,3.61,2.27,2.16,23.63
466,46.6,2048.73,2054.82,9.21,6.46,4.78,3.86,2.44,2.32,23.62
467,46.7,2064.06,2055.59,9.74,6.75,4.97,3.98,2.53,2.38,23.63
468,46.8,2078.64,2053.9,9.91,7.02,5,4.13,2.57,2.41,23.65
469,46.9,2120.47,2054.5,9.17,6.52,4.59,3.77,2.3,2.19,23.7
470,47,2139.03,2054.3,9.05,6.26,4.39,3.64,2.25,2.15,23.69
471,47.1,2149.2,2055.48,8.93,6.11,4.32,3.61,2.24,2.15,23.69
472,47.2,2158.47,2054.15,8.65,5.7,4.23,3.53,2.24,2.1,23.68
473,47.3,2118.66,2053.86,8.79,5.7,4.48,3.58,2.27,2.18,23.68
474,47.4,2084.6,2053.78,9.48,6.5,4.93,4,2.51,2.36,23.71
475,47.5,2050.59,2053.12,9.55,6.69,4.84,3.98,2.43,2.35,23.7
476,47.6,2035.8,2053.71,9.47,6.5,4.67,3.81,2.38,2.21,23.67
477,47.7,2019.55,2054.11,9.47,6.68,4.66,3.85,2.36,2.23,23.66
478,47.8,2004.91,2054.52,9.3,6.22,4.56,3.64,2.28,2.14,23.67
479,47.9,2018.29,2055.06,9.15,6.11,4.65,3.69,2.27,2.18,23.68
480,48,2020.5,2053.74,9.35,6.27,4.67,3.82,2.4,2.25,23.68
481,48.1,2018.66,2054.89,9.27,6.31,4.72,3.9,2.47,2.32,23.73
482,48.2,1996.78,2055.07,9.27,6.31,4.78,3.94,2.52,2.36,23.78
483,48.3,1987.68,2054.55,9.13,6.24,4.69,3.87,2.46,2.29,23.81
484,48.4,1987.11,2053.87,9.27,6.5,4.72,3.92,2.42,2.26,23.8
485,48.5,2016.14,2054.14,9.58,6.67,4.69,3.85,2.36,2.21,23.8
486,48.6,2054.11,2053.68,9.34,6.35,4.69,3.81,2.33,2.21,23.8
487,48.7,2088.94,2053.62,9.23,6.28,4.73,3.83,2.39,2.26,23.81
488,48.8,2099.95,2053.88,9.12,6.24,4.6,3.77,2.33,2.18,23.8
489,48.9,2085.36,2053.39,9.67,6.67,4.82,3.96,2.45,2.31,23.78
490,49,2044.56,2054.17,9.71,6.75,4.91,3.96,2.46,2.32,23.74
491,49.1,1988.12,2053.99,9.55,6.47,4.67,3.78,2.32,2.21,23.69
492,49.2,1951.24,2054.15,9.51,6.23,4.59,3.69,2.3,2.17,23.66
493,49.3,1934.16,2053.62,9.34,6.14,4.51,3.64,2.31,2.16,23.65
494,49.4,1940.33,2054.79,9.19,6.2,4.6,3.7,2.32,2.21,23.66
495,49.5,1957.16,2053.26,9.23,6.3,4.79,3.79,2.44,2.24,23.66
496,49.6,1987.88,2054.31,9.19,6.3,4.85,3.83,2.45,2.28,23.64
497,49.7,2019.43,2053.77,9.23,6.35,4.73,3.82,2.44,2.29,23.64
498,49.8,2064.3,2053.95,9.46,6.64,4.82,4.02,2.56,2.44,23.62
499,49.9,2129.89,2053.3,9.17,6.28,4.69,3.9,2.53,2.35,23.61
500,50,2169.91,2054.48,9.21,6.3,4.79,3.92,2.58,2.39,23.55
501,50.1,2182.9,2054.19,9.5,6.67,4.94,4.09,2.58,2.41,23.53
502,50.2,2167.79,2053.68,9.41,6.53,4.96,4,2.55,2.38,23.53
503,50.3,2104.5,2053.38,9.63,6.56,5.03,4.03,2.57,2.39,23.52
504,50.4,2069.28,2052.76,9.74,6.61,4.94,4.02,2.51,2.39,23.52
505,50.5,2028.07,2054.2,9.54,6.61,4.87,3.96,2.44,2.37,23.52
506,50.6,2004.42,2053.7,9.48,6.71,4.91,4.04,2.5,2.42,23.52
507,50.7,1990.34,2053.24,9.41,6.59,4.87,4.03,2.5,2.39,23.53
508,50.8,1971.57,2053.83,9.64,6.65,4.9,3.96,2.48,2.35,23.54
509,50.9,1976.25,2052.38,9.56,6.79,4.81,3.96,2.4,2.36,23.53
510,51,1984.57,2053.26,9.04,6.22,4.5,3.69,2.28,2.2,23.55
511,51.1,2004.2,2054.22,9.09,6.15,4.59,3.66,2.33,2.24,23.54
512,51.2,2003.4,2053.53,9.37,6.32,4.85,3.9,2.49,2.35,23.61
513,51.3,2007.31,2054.02,9.41,6.4,4.88,3.99,2.57,2.39,23.71
514,51.4,2004.27,2053.21,9.05,5.9,4.69,3.75,2.44,2.26,23.72
515,51.5,2007.89,2053.83,8.89,5.85,4.51,3.68,2.37,2.22,23.71
516,51.6,2023.91,2053.61,8.92,5.78,4.48,3.58,2.33,2.21,23.73
517,51.7,2049.34,2051.72,9.01,6.11,4.59,3.65,2.29,2.23,23.74
518,51.8,2079.08,2053.73,9,6.46,4.63,3.79,2.35,2.31,23.74
519,51.9,2095.92,2053.45,8.97,6.31,4.53,3.7,2.28,2.24,23.76
520,52,2114.62,2053.59,8.77,6.02,4.38,3.6,2.17,2.16,23.77
521,52.1,2118.01,2053.7,8.67,5.66,4.26,3.44,2.1,2.05,23.76
522,52.2,2111,2053.13,8.76,5.54,4.31,3.39,2.17,2.04,23.71
523,52.3,2092.09,2053.16,9.06,5.95,4.53,3.64,2.35,2.18,23.66
524,52.4,2078.42,2053.45,9.14,6.26,4.69,3.83,2.44,2.28,23.63
525,52.5,2091.43,2053.19,8.98,5.99,4.56,3.71,2.38,2.18,23.59
526,52.6,2106.03,2053.64,8.71,5.78,4.44,3.56,2.31,2.11,23.6
527,52.7,2097.3,2052.76,8.88,5.9,4.53,3.66,2.34,2.19,23.6
528,52.8,2081.04,2054.02,9.05,5.99,4.65,3.75,2.42,2.28,23.62
529,52.9,2064.2,2053.6,9.14,6.15,4.7,3.83,2.43,2.25,23.63
530,53,2035.97,2053.21,9.06,6.16,4.63,3.78,2.36,2.17,23.71
531,53.1,1998.53,2054.27,9.05,6.34,4.62,3.78,2.3,2.2,23.79
532,53.2,1960.77,2053.27,9.48,6.87,4.82,3.98,2.43,2.3,23.74
533,53.3,1928.79,2052.38,9.3,6.65,4.62,3.83,2.32,2.2,23.69
534,53.4,1908.2,2053.41,8.88,5.99,4.25,3.47,2.1,2.02,23.66
535,53.5,1906.11,2053.85,8.68,5.65,4.13,3.27,2.02,1.94,23.66
536,53.6,1909.85,2051.92,8.89,5.68,4.26,3.4,2.1,2.01,23.64
537,53.7,1931.01,2054.16,8.73,5.62,4.29,3.41,2.12,2.06,23.62
538,53.8,1948.59,2053.38,8.73,5.53,4.23,3.34,2.09,2.04,23.61
539,53.9,1976.42,2052.7,8.71,5.65,4.29,3.43,2.19,2.08,23.62
540,54,2032.08,2053.1,8.88,5.91,4.54,3.66,2.37,2.21,23.65
541,54.1,2083.76,2052.64,8.97,6.09,4.54,3.71,2.34,2.22,23.68
542,54.2,2120.17,2054.88,8.81,5.99,4.47,3.65,2.29,2.19,23.71
543,54.3,2146.26,2053,8.56,5.73,4.39,3.54,2.26,2.14,23.75
544,54.4,2155.81,2053.21,8.64,5.73,4.39,3.56,2.22,2.15,23.75
545,54.5,2144.63,2053.26,8.8,5.78,4.45,3.56,2.23,2.15,23.76
546,54.6,2126.55,2053.14,9.31,6.1,4.67,3.69,2.36,2.2,23.77
547,54.7,2157.21,2061.14,9.8,6.77,4.94,3.99,2.47,2.37,23.78
548,54.8,2189.85,2502.01,9.42,6.51,4.73,3.92,2.38,2.33,23.78
549,54.9,2256.19,3061.92,9.06,5.98,4.53,3.61,2.28,2.12,23.78
550,55,2369.35,3012.9,10.3,7.37,5.19,4.24,2.59,2.47,23.82
551,55.1,2494.29,3036.11,11.6,9.49,5.9,5.22,3,2.96,23.83
552,55.2,2590.44,3025.02,11.6,9.77,6.09,5.47,3.17,3.08,23.81
553,55.3,2684.44,3029.72,11.5,9.68,6.11,5.55,3.2,3.09,23.81
554,55.4,2751.06,3027.96,12,10.2,6.25,5.77,3.24,3.21,23.8
555,55.5,2803.54,3029.25,12.2,10.8,6.42,6.08,3.42,3.38,23.91
556,55.6,2848.35,3028.94,11.9,10.5,6.24,5.9,3.32,3.28,23.89
557,55.7,2879.8,3029.18,11.9,10.5,6.42,6.02,3.45,3.4,23.87
558,55.8,2913.01,3029.01,12.4,11.5,6.83,6.48,3.66,3.65,23.88
559,55.9,2919.69,3028.8,12.7,11.9,6.87,6.49,3.62,3.64,23.88
560,56,2941.31,3033.47,12.6,11.9,6.79,6.56,3.64,3.63,23.89
561,56.1,2964.29,3032.51,12.3,11.2,6.56,6.23,3.48,3.46,23.91
562,56.2,2963.04,3031.58,11.9,10.8,6.36,6.08,3.39,3.39,23.93
563,56.3,2963.37,3033.11,12.3,11.2,6.56,6.27,3.43,3.53,23.96
564,56.4,2978.51,3033.49,12.3,11.4,6.71,6.42,3.58,3.61,24
565,56.5,3001.66,3033.12,11.8,10.6,6.39,6.11,3.45,3.48,24.01
566,56.6,3035.08,3033.34,12.2,11,6.61,6.24,3.5,3.51,24.03
567,56.7,3028.74,3033.23,12.4,11.7,6.81,6.54,3.71,3.7,24.04
568,56.8,3046.45,3032.24,12.6,11.7,6.83,6.65,3.73,3.76,24.05
569,56.9,3062.21,3033.34,12.5,11.7,6.74,6.49,3.57,3.64,24.06
570,57,3072.71,3034.17,12.5,11.6,6.58,6.36,3.46,3.55,24.06
571,57.1,3085.77,3033.75,12.4,11.3,6.46,6.18,3.36,3.47,24.04
572,57.2,3061.16,3033.19,12.1,10.8,6.45,6.02,3.37,3.37,24.03
573,57.3,3027.95,3033.7,12.1,10.7,6.55,6.03,3.36,3.37,24.09
574,57.4,2980.93,3034.45,12,10.8,6.55,6.15,3.48,3.41,24.09
575,57.5,2951.97,3034.33,12.4,11.3,6.68,6.28,3.55,3.49,24.07
576,57.6,2927.52,3034.78,12.9,12.1,7.02,6.58,3.67,3.65,24.06
577,57.7,2913.18,3033.48,12.7,11.9,7.01,6.79,3.85,3.78,24.08
578,57.8,2887.72,3033.94,12.2,10.6,6.61,6.25,3.72,3.6,24.25
579,57.9,2871.45,3035.37,12.4,11.2,6.8,6.5,3.69,3.7,24.22
580,58,2869.37,3034.67,12.3,11.2,6.77,6.4,3.76,3.7,24.19
581,58.1,2868.94,3034.78,11.8,10.1,6.52,6.06,3.65,3.56,24.16
582,58.2,2888.97,3034.07,12.4,11.1,6.74,6.36,3.66,3.66,24.14
583,58.3,2920.68,3035.09,12.5,11.6,6.74,6.56,3.69,3.73,24.1
584,58.4,2961.99,3034.61,12.1,10.9,6.56,6.27,3.63,3.64,24.09
585,58.5,2998.97,3034.58,11.9,9.93,6.56,6.03,3.57,3.54,24.11
586,58.6,3051.4,3035.89,12.1,10.9,6.64,6.22,3.46,3.53,24.1
587,58.7,3093.69,3035.79,12,11.9,6.4,6.01,3.34,3.41,24.06
588,58.8,3126.96,3034.46,11.8,10.1,6.33,5.68,3.29,3.3,24.01
589,58.9,3127.31,3034.16,12,10.6,6.64,6.06,3.45,3.51,23.93
590,59,3081.99,3034.61,12.1,11,6.68,6.25,3.56,3.59,23.91
591,59.1,3031.18,3034.99,12.3,11.3,6.76,6.37,3.59,3.62,23.92
592,59.2,3007.11,3035.55,12.3,11.3,6.7,6.36,3.6,3.6,23.92
593,59.3,3024.03,3035.89,12.2,11,6.59,6.27,3.54,3.58,23.9
594,59.4,3033.01,3035.33,12.4,11.6,6.76,6.44,3.63,3.62,23.93
595,59.5,3051.32,3035.96,12.4,11.6,6.77,6.48,3.59,3.63,23.96
596,59.6,3068.21,3034.73,12.4,11.2,6.73,6.32,3.5,3.55,23.98
597,59.7,3083.69,3036.26,12.1,10.8,6.55,6.06,3.49,3.41,24.01
598,59.8,3086.57,3035.7,12.1,10.4,6.49,5.98,3.57,3.38,23.97
599,59.9,3078.04,3034.51,11.9,10.3,6.46,5.86,3.37,3.31,23.94
600,60,3082.32,3035.67,12.2,10.8,6.62,6.05,3.43,3.46,23.94
601,60.1,3076.1,3035.58,12.4,11.1,6.74,6.25,3.57,3.54,23.95
602,60.2,3070.91,3036.19,12.6,11.3,6.67,6.29,3.5,3.51,23.96
603,60.3,3085.71,3034.56,12.6,11.2,6.81,6.37,3.57,3.57,23.96
604,60.4,3105.09,3036.02,12.9,11.6,7.02,6.53,3.66,3.68,23.97
605,60.5,3142.42,3033.99,12.7,11.8,7.11,6.67,3.75,3.76,23.96
606,60.6,3145.5,3035.89,12.7,12,7.15,6.87,3.91,3.85,23.96
607,60.7,3114.88,3036.16,12.6,11.4,6.83,6.4,3.61,3.59,23.96
608,60.8,3046.81,3036.82,12.2,11.2,6.61,6.24,3.47,3.53,23.97
609,60.9,2985.84,3035.32,12,10.5,6.27,5.84,3.25,3.27,23.99
610,61,2939.97,3035.69,12.1,10.4,6.15,5.67,3.19,3.19,23.98
611,61.1,2944.31,3036.97,12,10.2,6.12,5.59,3.17,3.2,24.02
612,61.2,2951.41,3036.09,11.8,9.8,6.14,5.6,3.21,3.21,24
613,61.3,2987.7,3035.92,11.8,9.6,6.06,5.53,3.15,3.19,24
614,61.4,3004.94,3035.26,11.9,9.84,6.18,5.57,3.17,3.21,24
615,61.5,3026.59,3035.82,12,10.2,6.31,5.7,3.23,3.24,24.02
616,61.6,3079.53,3035.8,11.8,10.2,6.15,5.69,3.23,3.16,24.02
617,61.7,3093.04,3036.03,11.8,10.2,6.25,5.82,3.34,3.26,24.05
618,61.8,3112.38,3035.21,11.8,10.3,6.3,5.9,3.35,3.34,24.04
619,61.9,3112.15,3035.55,11.7,9.8,6.25,5.77,3.39,3.33,24.03
620,62,3109.21,3036.68,11.6,9.79,6.27,5.8,3.41,3.33,24.02
621,62.1,3095.69,3036.21,11.8,9.88,6.43,5.89,3.49,3.4,24.02
622,62.2,3069.17,3036.22,12,10.5,6.52,6.18,3.54,3.56,24.02
623,62.3,3017.29,3035.43,12.2,11.1,6.65,6.32,3.49,3.61,23.98
624,62.4,2973.83,3036.1,11.9,10.6,6.37,6.05,3.44,3.42,23.97
625,62.5,2935.11,3035.06,11.5,9.44,6.14,5.6,3.31,3.2,23.97
626,62.6,2918.3,3035.75,11.8,10.3,6.33,5.84,3.29,3.28,23.97
627,62.7,2906.95,3035.72,12.1,10.6,6.37,5.84,3.28,3.26,23.97
628,62.8,2924.92,3036.06,11.6,9.97,6.21,5.73,3.29,3.21,23.98
629,62.9,2945.73,3035.03,11.7,10.1,6.27,5.81,3.41,3.28,23.98
630,63,2960.15,3035.92,11.8,10.6,6.39,5.95,3.56,3.4,24.03
631,63.1,2969.3,3035.16,11.6,10,6.34,5.94,3.5,3.39,24.13
632,63.2,2975.29,3035.24,11.8,10.4,6.39,5.93,3.39,3.37,24.12
633,63.3,2969.3,3036.15,12,10.2,6.28,5.7,3.18,3.23,24.11
634,63.4,2970.36,3035.95,11.9,10,6.21,5.56,3.13,3.15,24.09
635,63.5,2968.96,3035.88,11.7,9.76,6.22,5.53,3.14,3.16,24.1
636,63.6,2985.25,3035.12,11.8,9.77,6.31,5.6,3.22,3.18,24.09
637,63.7,2989.71,3036.22,11.9,9.76,6.17,5.46,3.19,3.12,24.08
638,63.8,3002.66,3036.91,11.7,9.63,6.05,5.47,3.17,3.12,24.07
639,63.9,3021.01,3035.28,11.8,9.67,5.9,5.44,3.09,3.08,24.05
640,64,3020.79,3035.17,12,9.76,5.97,5.48,3.08,3.14,24.05
