s,s,kW,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C
332,33.2,391.02,394.47,1.24,0.58,0.52,0.39,0.27,0.26,24.02
333,33.3,389.71,394,1.26,0.57,0.54,0.39,0.27,0.26,24.01
334,33.4,388.23,393.95,1.26,0.57,0.55,0.39,0.27,0.26,24.02
335,33.5,393.05,394.24,1.22,0.57,0.55,0.4,0.27,0.26,24
336,33.6,394.13,393.19,1.21,0.58,0.52,0.39,0.26,0.26,24
337,33.7,402.7,394.39,1.21,0.58,0.52,0.4,0.26,0.26,24.02
338,33.8,407.46,393.79,1.22,0.58,0.52,0.39,0.27,0.26,24.04
339,33.9,410,393.74,1.22,0.57,0.54,0.4,0.27,0.26,24.03
340,34,414.8,393.67,1.22,0.57,0.52,0.38,0.25,0.26,24.04
341,34.1,415.81,393.49,1.24,0.57,0.52,0.38,0.24,0.25,24.09
342,34.2,413.04,394.26,1.25,0.58,0.55,0.38,0.26,0.25,24.13
343,34.3,411.36,393.87,1.22,0.58,0.57,0.39,0.27,0.26,24.13
344,34.4,408.57,394.37,1.22,0.58,0.55,0.4,0.26,0.26,24.13
345,34.5,405.01,393.36,1.22,0.57,0.52,0.39,0.26,0.25,24.12
346,34.6,404.51,394.01,1.2,0.56,0.5,0.38,0.25,0.24,24.13
347,34.7,405,393.86,1.2,0.56,0.51,0.38,0.26,0.24,24.13
348,34.8,399.55,393.84,1.21,0.57,0.52,0.38,0.27,0.24,24.15
349,34.9,404.08,394.55,1.25,0.57,0.54,0.38,0.29,0.25,24.16
350,35,403.33,393.65,1.24,0.57,0.54,0.38,0.28,0.24,24.13
351,35.1,408.75,394.16,1.22,0.58,0.52,0.38,0.27,0.25,24.11
352,35.2,406.61,393.8,1.24,0.6,0.54,0.38,0.27,0.26,24.11
353,35.3,409.93,393.63,1.25,0.6,0.54,0.39,0.28,0.27,24.1
354,35.4,397.77,394.04,1.24,0.58,0.54,0.39,0.27,0.28,24.1
355,35.5,388.39,393.12,1.22,0.57,0.52,0.4,0.27,0.27,24.07
356,35.6,386.68,394.28,1.21,0.57,0.52,0.39,0.27,0.27,24.05
357,35.7,383.59,393.32,1.22,0.58,0.52,0.39,0.27,0.27,24.03
358,35.8,383.52,394.35,1.24,0.6,0.52,0.4,0.25,0.27,24.05
359,35.9,381.73,393.51,1.22,0.58,0.52,0.39,0.26,0.27,24.06
360,36,383.16,394.16,1.22,0.58,0.51,0.39,0.26,0.27,24.06
361,36.1,384.71,393.71,1.21,0.58,0.51,0.39,0.26,0.26,24.05
362,36.2,394.42,393.39,1.2,0.6,0.51,0.39,0.25,0.26,24.06
363,36.3,398.88,394.27,1.2,0.58,0.51,0.38,0.24,0.26,24.06
364,36.4,399.28,393.72,1.2,0.57,0.52,0.38,0.25,0.26,24.06
365,36.5,402.58,394.23,1.18,0.57,0.52,0.39,0.24,0.26,24.07
366,36.6,394.89,393.57,1.18,0.57,0.52,0.38,0.23,0.26,24.09
367,36.7,391.4,393.41,1.24,0.57,0.55,0.39,0.24,0.27,24.08
368,36.8,391.27,394.29,1.24,0.58,0.57,0.4,0.27,0.27,24.07
369,36.9,387.35,393.31,1.22,0.57,0.54,0.39,0.27,0.26,24.06
370,37,382.7,393.88,1.24,0.58,0.54,0.39,0.26,0.26,24.06
371,37.1,383.27,394.35,1.26,0.58,0.54,0.39,0.26,0.26,24.07
372,37.2,372.93,394.45,1.26,0.58,0.55,0.39,0.26,0.25,24.21
373,37.3,362.66,394.26,1.25,0.57,0.54,0.39,0.27,0.26,24.22
374,37.4,363.64,394.07,1.25,0.57,0.54,0.38,0.27,0.25,24.21
375,37.5,360.32,393.57,1.22,0.57,0.52,0.39,0.26,0.25,24.21
376,37.6,361.78,392.96,1.22,0.6,0.5,0.39,0.26,0.25,24.21
377,37.7,367.73,394.17,1.21,0.57,0.51,0.39,0.26,0.25,24.24
378,37.8,376.55,393.39,1.21,0.58,0.52,0.4,0.27,0.26,24.25
379,37.9,375.35,393.73,1.26,0.61,0.55,0.4,0.28,0.27,24.28
380,38,373.96,394.11,1.28,0.6,0.55,0.42,0.26,0.28,24.3
381,38.1,374.34,393.61,1.25,0.6,0.54,0.4,0.25,0.27,24.3
382,38.2,369.51,393.87,1.24,0.6,0.54,0.4,0.26,0.26,24.27
383,38.3,376.94,393.23,1.29,0.61,0.54,0.4,0.25,0.27,24.25
384,38.4,377.02,393.94,1.26,0.61,0.54,0.42,0.25,0.27,24.24
385,38.5,385.38,393.38,1.25,0.6,0.54,0.42,0.26,0.26,24.24
386,38.6,387,393.95,1.25,0.6,0.55,0.4,0.27,0.26,24.24
387,38.7,392.58,393.91,1.29,0.6,0.55,0.42,0.27,0.27,24.26
388,38.8,393.06,393.52,1.29,0.6,0.54,0.4,0.26,0.28,24.28
389,38.9,390.51,393.3,1.29,0.6,0.55,0.42,0.26,0.28,24.32
390,39,389.78,393.23,1.26,0.6,0.55,0.42,0.26,0.27,24.34
391,39.1,394.12,395.43,1.24,0.6,0.57,0.4,0.27,0.28,24.33
392,39.2,398.36,393.1,1.24,0.6,0.57,0.4,0.27,0.28,24.32
393,39.3,404.32,393.39,1.25,0.6,0.55,0.42,0.28,0.27,24.33
394,39.4,408.73,393.28,1.25,0.6,0.57,0.42,0.28,0.27,24.3
395,39.5,405.08,394.02,1.26,0.6,0.55,0.42,0.26,0.26,24.3
396,39.6,405.01,393.81,1.22,0.57,0.54,0.4,0.26,0.27,24.29
397,39.7,409.36,393.71,1.21,0.6,0.54,0.4,0.27,0.27,24.29
398,39.8,407.54,394.13,1.25,0.61,0.54,0.42,0.26,0.27,24.27
399,39.9,403.87,393.79,1.24,0.61,0.54,0.4,0.26,0.27,24.27
400,40,396.04,393.85,1.24,0.6,0.52,0.4,0.27,0.27,24.24
401,40.1,393.41,393.46,1.24,0.6,0.54,0.42,0.29,0.26,24.25
402,40.2,398.14,393.51,1.24,0.6,0.54,0.42,0.27,0.27,24.25
403,40.3,393.76,394.07,1.24,0.6,0.52,0.4,0.25,0.27,24.24
404,40.4,383.79,392.98,1.22,0.58,0.52,0.39,0.27,0.27,24.24
405,40.5,377.91,393.79,1.21,0.58,0.51,0.39,0.27,0.27,24.23
406,40.6,374.89,393.09,1.21,0.6,0.52,0.4,0.27,0.27,24.2
407,40.7,363.27,393.55,1.28,0.62,0.57,0.4,0.27,0.27,24.19
408,40.8,362.24,393.48,1.29,0.62,0.58,0.42,0.28,0.28,24.22
409,40.9,357.71,394.99,1.28,0.61,0.55,0.42,0.29,0.28,24.24
410,41,353.95,394.2,1.28,0.61,0.54,0.42,0.27,0.28,24.28
411,41.1,361.79,393.1,1.29,0.61,0.57,0.42,0.27,0.28,24.29
412,41.2,366.34,394.12,1.25,0.61,0.55,0.39,0.26,0.28,24.32
413,41.3,368.37,393.22,1.25,0.61,0.55,0.4,0.26,0.27,24.34
414,41.4,366.62,393.99,1.26,0.61,0.55,0.4,0.28,0.28,24.34
415,41.5,375.35,393.82,1.25,0.61,0.52,0.4,0.27,0.28,24.3
416,41.6,378.09,393,1.21,0.6,0.51,0.4,0.25,0.27,24.28
417,41.7,385.06,394.11,1.24,0.61,0.52,0.42,0.26,0.27,24.27
418,41.8,389.87,392.81,1.26,0.62,0.55,0.42,0.26,0.28,24.28
419,41.9,391.15,393.85,1.28,0.61,0.57,0.42,0.27,0.29,24.29
420,42,394.97,393.25,1.25,0.61,0.55,0.42,0.27,0.28,24.29
421,42.1,400.25,393.55,1.24,0.61,0.54,0.42,0.27,0.28,24.3
422,42.2,399.95,393.44,1.25,0.61,0.55,0.42,0.27,0.28,24.28
423,42.3,406.11,393.36,1.25,0.6,0.54,0.42,0.26,0.26,24.28
424,42.4,409.04,394.23,1.24,0.61,0.54,0.4,0.25,0.26,24.27
425,42.5,416.53,393.29,1.22,0.61,0.54,0.42,0.27,0.26,24.24
426,42.6,419.91,394.27,1.24,0.61,0.55,0.42,0.27,0.27,24.22
427,42.7,415.67,393.36,1.25,0.61,0.55,0.42,0.28,0.28,24.19
428,42.8,415.39,393.67,1.26,0.62,0.55,0.42,0.28,0.28,24.19
429,42.9,408.05,393.73,1.26,0.62,0.55,0.42,0.26,0.27,24.17
430,43,401.12,395.06,1.28,0.61,0.54,0.42,0.25,0.27,24.17
431,43.1,394.45,393.91,1.28,0.61,0.55,0.42,0.28,0.27,24.18
432,43.2,391.43,393.3,1.28,0.62,0.54,0.42,0.28,0.28,24.16
433,43.3,385.97,393.61,1.25,0.61,0.54,0.42,0.26,0.28,24.17
434,43.4,385.7,393.11,1.24,0.61,0.54,0.4,0.25,0.27,24.16
435,43.5,381.6,393.43,1.24,0.61,0.55,0.4,0.27,0.27,24.16
436,43.6,380.35,393.17,1.26,0.61,0.54,0.42,0.28,0.27,24.14
437,43.7,385.41,393.11,1.28,0.62,0.55,0.42,0.26,0.27,24.15
438,43.8,391.53,393.75,1.28,0.61,0.55,0.42,0.25,0.27,24.14
439,43.9,408.86,393.3,1.28,0.62,0.55,0.42,0.26,0.28,24.09
440,44,411.55,393.6,1.28,0.62,0.55,0.42,0.26,0.28,24.06
441,44.1,414.97,393.78,1.25,0.61,0.54,0.42,0.26,0.28,24.05
442,44.2,417.11,393.55,1.24,0.61,0.54,0.42,0.26,0.28,24.04
443,44.3,402.45,393.44,1.24,0.62,0.54,0.42,0.28,0.27,24.05
444,44.4,396.72,393.17,1.26,0.62,0.54,0.4,0.28,0.27,24.04
445,44.5,383.27,393.63,1.26,0.62,0.54,0.4,0.27,0.26,24.04
446,44.6,377.88,392.93,1.26,0.62,0.57,0.4,0.27,0.27,24.04
447,44.7,376.44,393.67,1.28,0.62,0.54,0.4,0.27,0.27,24.04
448,44.8,381.13,393.46,1.28,0.62,0.52,0.4,0.26,0.27,24.02
449,44.9,389.02,393.48,1.28,0.61,0.52,0.4,0.25,0.27,24.01
450,45,391.77,393.62,1.26,0.61,0.52,0.4,0.25,0.27,24.01
451,45.1,395.73,393.13,1.24,0.61,0.51,0.42,0.26,0.27,24.02
452,45.2,396.79,393.98,1.22,0.61,0.54,0.42,0.26,0.27,24.02
453,45.3,399.6,393.23,1.25,0.61,0.55,0.42,0.28,0.27,24.02
454,45.4,402.02,393.68,1.28,0.61,0.55,0.43,0.28,0.27,24.04
455,45.5,403.57,393.31,1.28,0.6,0.55,0.43,0.29,0.29,24.06
456,45.6,392.4,393.79,1.28,0.61,0.58,0.43,0.28,0.29,24.09
457,45.7,391.74,393.39,1.29,0.62,0.57,0.44,0.28,0.29,24.1
458,45.8,388.58,392.85,1.29,0.62,0.57,0.44,0.28,0.28,24.11
459,45.9,386.21,393.86,1.26,0.62,0.55,0.43,0.28,0.28,24.1
460,46,387.11,393.38,1.26,0.62,0.54,0.43,0.27,0.29,24.08
461,46.1,384.66,394.07,1.25,0.61,0.54,0.42,0.27,0.28,24.06
462,46.2,381.2,393.19,1.26,0.62,0.54,0.43,0.27,0.28,24.04
463,46.3,379.19,392.8,1.25,0.64,0.54,0.43,0.27,0.28,24.05
464,46.4,373.17,393.79,1.28,0.64,0.55,0.42,0.27,0.28,24.05
465,46.5,367.97,393.12,1.29,0.64,0.55,0.42,0.27,0.29,24.07
466,46.6,372.53,393.83,1.28,0.62,0.55,0.42,0.26,0.29,24.05
467,46.7,372.25,393.12,1.29,0.65,0.55,0.43,0.26,0.29,24.04
468,46.8,367.94,393.74,1.29,0.64,0.54,0.43,0.25,0.29,24.03
469,46.9,361.35,393.38,1.29,0.62,0.54,0.43,0.25,0.28,24.05
470,47,359.8,393.32,1.26,0.62,0.54,0.43,0.25,0.27,24.05
471,47.1,362.77,393.45,1.26,0.61,0.55,0.42,0.24,0.28,24.05
472,47.2,364.89,393.21,1.28,0.61,0.54,0.42,0.25,0.27,24.04
473,47.3,370.41,393.86,1.29,0.62,0.55,0.43,0.25,0.27,24.05
474,47.4,371.59,392.96,1.28,0.64,0.55,0.42,0.26,0.27,24.06
475,47.5,373.98,393.39,1.28,0.64,0.54,0.43,0.27,0.27,24.09
476,47.6,377.56,393.72,1.3,0.64,0.55,0.43,0.28,0.29,24.08
477,47.7,372.33,393.43,1.32,0.64,0.55,0.43,0.28,0.28,24.06
478,47.8,365.06,393.65,1.29,0.64,0.55,0.44,0.27,0.28,24.05
479,47.9,358.86,393.15,1.29,0.65,0.57,0.44,0.27,0.28,24.05
480,48,359.24,393.52,1.29,0.65,0.57,0.43,0.29,0.29,24.07
481,48.1,368.95,392.92,1.28,0.65,0.55,0.43,0.28,0.29,24.06
482,48.2,379.36,393.92,1.26,0.64,0.57,0.43,0.29,0.3,24.02
483,48.3,391.31,393.27,1.26,0.64,0.57,0.42,0.29,0.29,23.98
484,48.4,398.55,393.11,1.26,0.61,0.54,0.4,0.26,0.28,23.97
485,48.5,401.71,394.02,1.29,0.61,0.54,0.4,0.25,0.27,23.99
486,48.6,403,393.29,1.3,0.61,0.54,0.4,0.26,0.27,23.99
487,48.7,415.09,393.65,1.32,0.62,0.55,0.42,0.26,0.27,24
488,48.8,418.9,393,1.33,0.62,0.55,0.43,0.28,0.27,24
489,48.9,423.52,393.52,1.3,0.62,0.55,0.43,0.27,0.27,24.01
490,49,422.31,393.19,1.32,0.64,0.55,0.43,0.26,0.28,23.99
491,49.1,420.05,393.04,1.29,0.65,0.55,0.43,0.26,0.29,23.99
492,49.2,409.65,394.12,1.29,0.64,0.55,0.44,0.27,0.3,23.99
493,49.3,404.42,392.86,1.28,0.64,0.54,0.44,0.29,0.29,23.99
494,49.4,396.46,393.56,1.3,0.65,0.55,0.44,0.29,0.3,24
495,49.5,386.33,393.13,1.25,0.65,0.55,0.44,0.27,0.3,24
496,49.6,374.94,393.46,1.22,0.64,0.54,0.43,0.26,0.29,24.03
497,49.7,369.56,393.22,1.26,0.62,0.54,0.44,0.27,0.3,24.05
498,49.8,366.14,393.24,1.28,0.64,0.55,0.44,0.28,0.3,24.06
499,49.9,365.34,393.46,1.26,0.64,0.54,0.44,0.27,0.29,24.07
500,50,371.73,393.1,1.29,0.64,0.57,0.44,0.26,0.3,24.07
501,50.1,372.92,393.72,1.25,0.62,0.55,0.43,0.25,0.29,24.08
502,50.2,371.93,393.25,1.26,0.62,0.55,0.42,0.25,0.27,24.1
503,50.3,373.79,393.6,1.28,0.64,0.55,0.42,0.25,0.27,24.16
504,50.4,381.93,393.2,1.28,0.73,0.57,0.42,0.26,0.27,24.15
505,50.5,385.31,392.98,1.24,0.66,0.57,0.4,0.27,0.26,24.11
506,50.6,385.56,393.3,1.29,0.66,0.57,0.42,0.29,0.27,24.11
507,50.7,387.37,392.5,1.3,0.68,0.55,0.44,0.28,0.27,24.12
508,50.8,388.44,393.59,1.28,0.65,0.55,0.43,0.27,0.27,24.11
509,50.9,389.33,392.98,1.33,0.64,0.55,0.43,0.28,0.27,24.11
510,51,391.44,393.29,1.33,0.64,0.57,0.43,0.28,0.27,24.12
511,51.1,390.77,393.63,1.33,0.64,0.55,0.43,0.28,0.29,24.12
512,51.2,389.31,393.32,1.34,0.65,0.57,0.44,0.28,0.3,24.13
513,51.3,384.18,393.68,1.34,0.65,0.57,0.43,0.29,0.29,24.12
514,51.4,386.36,392.83,1.34,0.66,0.58,0.44,0.27,0.29,24.12
515,51.5,378.86,393.54,1.37,0.64,0.58,0.43,0.27,0.29,24.14
516,51.6,377.67,393.79,1.33,0.64,0.58,0.43,0.27,0.29,24.15
517,51.7,374.76,393.02,1.33,0.65,0.6,0.43,0.29,0.29,24.16
518,51.8,371.16,393.22,1.34,0.68,0.6,0.44,0.29,0.3,24.16
519,51.9,369.37,392.98,1.37,0.68,0.6,0.44,0.28,0.3,24.16
520,52,370.83,393.23,1.34,0.68,0.58,0.43,0.28,0.29,24.15
521,52.1,368.33,392.65,1.33,0.68,0.6,0.43,0.29,0.28,24.14
522,52.2,373.01,393.56,1.3,0.66,0.6,0.44,0.29,0.28,24.13
523,52.3,365.89,393.41,1.28,0.65,0.58,0.44,0.27,0.28,24.1
524,52.4,361.74,393.62,1.29,0.66,0.58,0.44,0.28,0.28,24.07
525,52.5,365.62,393.82,1.28,0.65,0.57,0.44,0.27,0.27,24.06
526,52.6,359.68,393.43,1.29,0.64,0.57,0.43,0.26,0.28,24.06
527,52.7,359.93,393.44,1.3,0.65,0.57,0.43,0.28,0.29,24.06
528,52.8,359.07,392.82,1.32,0.69,0.6,0.42,0.28,0.3,24.06
529,52.9,364.98,393.27,1.32,0.66,0.6,0.43,0.29,0.29,24.06
530,53,366.43,393.07,1.29,0.66,0.57,0.42,0.3,0.29,24.09
531,53.1,370.4,392.96,1.3,0.65,0.58,0.43,0.29,0.3,24.09
532,53.2,363.16,393.3,1.3,0.65,0.55,0.43,0.28,0.3,24.06
533,53.3,362.85,392.75,1.38,0.66,0.55,0.44,0.29,0.29,24.05
534,53.4,360.29,393.73,1.37,0.66,0.57,0.44,0.29,0.3,24.03
535,53.5,367.88,392.86,1.36,0.65,0.55,0.46,0.28,0.28,24.02
536,53.6,372.53,393.22,1.3,0.66,0.54,0.44,0.26,0.28,24.01
537,53.7,377.68,393.25,1.33,0.65,0.54,0.44,0.26,0.28,24.01
538,53.8,380.84,393.27,1.32,0.65,0.58,0.44,0.27,0.28,23.98
539,53.9,377.01,393.35,1.33,0.66,0.6,0.44,0.29,0.3,23.95
540,54,376.39,392.98,1.34,0.68,0.61,0.46,0.29,0.3,23.94
541,54.1,372.49,393.28,1.36,0.66,0.61,0.44,0.3,0.3,23.96
542,54.2,379.25,392.74,1.34,0.66,0.58,0.44,0.29,0.3,23.97
543,54.3,383.57,393.53,1.32,0.68,0.58,0.46,0.29,0.29,23.99
544,54.4,390.55,393.31,1.32,0.68,0.58,0.46,0.28,0.3,23.99
545,54.5,395.74,392.6,1.32,0.66,0.58,0.44,0.29,0.3,24.01
546,54.6,398.89,393.24,1.3,0.64,0.57,0.44,0.28,0.3,24.03
547,54.7,401.48,392.69,1.32,0.64,0.58,0.44,0.29,0.3,24.03
548,54.8,407.24,393.34,1.32,0.65,0.58,0.46,0.29,0.28,24.02
549,54.9,405.26,392.87,1.3,0.65,0.58,0.46,0.29,0.29,24.02
550,55,404.43,393.44,1.32,0.66,0.58,0.46,0.29,0.31,24.02
551,55.1,400.62,393.11,1.3,0.66,0.57,0.44,0.29,0.3,24.02
552,55.2,403.97,393.05,1.32,0.66,0.58,0.44,0.29,0.3,24.05
553,55.3,400.87,394.08,1.32,0.66,0.58,0.44,0.29,0.3,24.03
554,55.4,398.52,393.14,1.3,0.66,0.58,0.44,0.29,0.28,24.02
555,55.5,398.31,393.47,1.3,0.65,0.58,0.44,0.29,0.29,24.02
556,55.6,397.46,393.15,1.32,0.66,0.58,0.46,0.28,0.3,24.02
557,55.7,396.1,393.39,1.33,0.68,0.6,0.46,0.28,0.3,24.02
558,55.8,404.22,393.34,1.3,0.66,0.58,0.44,0.28,0.29,24.01
559,55.9,400.8,393.04,1.28,0.65,0.57,0.43,0.27,0.29,24
560,56,395.46,393.6,1.28,0.65,0.55,0.43,0.28,0.28,23.99
561,56.1,403,392.84,1.29,0.62,0.55,0.43,0.29,0.28,24.01
562,56.2,407.9,393.98,1.29,0.64,0.57,0.43,0.29,0.29,24.04
563,56.3,415.74,392.89,1.3,0.62,0.57,0.43,0.29,0.29,24.07
564,56.4,415.47,545.77,1.29,0.62,0.58,0.42,0.29,0.28,24.08
565,56.5,417.09,1024.81,1.32,0.65,0.6,0.42,0.29,0.3,24.09
566,56.6,414.99,1014.34,2.09,0.97,1.03,0.63,0.48,0.45,24.08
567,56.7,421.85,1044.12,3.69,1.76,1.79,1.15,0.86,0.77,24.1
568,56.8,437.36,1022.27,3.99,1.99,1.9,1.28,0.94,0.81,24.1
569,56.9,482.79,1037.54,3.97,2,1.9,1.29,0.95,0.83,24.12
570,57,539.96,1027.8,4.01,2.02,1.9,1.31,0.95,0.84,24.13
571,57.1,627.42,1033.42,4.06,2.05,1.93,1.32,0.96,0.84,24.13
572,57.2,712.12,1030.01,4.03,2.01,1.85,1.29,0.91,0.8,24.15
573,57.3,783.77,1031.25,3.99,1.99,1.87,1.26,0.89,0.81,24.14
574,57.4,837.09,1031.39,4.06,2.04,1.91,1.29,0.92,0.83,24.12
575,57.5,870.01,1030.16,4.07,2.05,1.91,1.32,0.93,0.82,24.11
576,57.6,889.79,1032.09,4.11,2.08,1.9,1.32,0.92,0.83,24.12
577,57.7,896.79,1030.34,4.07,2.08,1.9,1.32,0.92,0.83,24.11
578,57.8,902.53,1031.39,4.06,2.06,1.9,1.31,0.93,0.82,24.11
579,57.9,906.08,1031.06,3.99,2.04,1.87,1.28,0.91,0.81,24.13
580,58,915.89,1031.88,3.98,2.02,1.84,1.28,0.9,0.83,24.12
581,58.1,931.21,1032.37,3.9,1.97,1.78,1.26,0.86,0.81,24.11
582,58.2,939.83,1031.64,3.82,1.95,1.75,1.24,0.84,0.79,24.13
583,58.3,962.6,1032.08,3.9,1.97,1.78,1.26,0.86,0.79,24.14
584,58.4,986.69,1031.74,4.05,2.02,1.85,1.29,0.9,0.81,24.14
585,58.5,1000.27,1032.07,4.02,2.01,1.84,1.28,0.89,0.82,24.12
586,58.6,1010.76,1032.04,3.97,2.01,1.82,1.27,0.88,0.81,24.11
587,58.7,1027.68,1031.2,3.97,2.05,1.84,1.29,0.89,0.82,24.11
588,58.8,1025.44,1031.41,3.96,2.02,1.84,1.29,0.9,0.82,24.11
589,58.9,1018.77,1032.3,3.97,2.01,1.87,1.31,0.92,0.83,24.09
590,59,1005.06,1031.22,4.03,2.08,1.94,1.35,0.95,0.85,24.09
591,59.1,997.41,1031.42,4.14,2.08,1.97,1.35,0.95,0.87,24.09
592,59.2,1001.74,1031.87,4.14,2.08,1.96,1.36,0.97,0.88,24.1
593,59.3,1002.11,1031.78,4.15,2.08,1.97,1.36,0.98,0.88,24.11
594,59.4,1001.42,1030.35,4.22,2.16,2.02,1.4,0.99,0.9,24.11
595,59.5,1005.86,1031.9,4.19,2.17,2.02,1.4,0.99,0.9,24.12
596,59.6,1009.28,1030.12,4.18,2.17,2.02,1.41,1,0.91,24.13
597,59.7,1010.21,1030.89,4.17,2.14,1.99,1.4,0.99,0.9,24.13
598,59.8,1007.39,1031.03,4.19,2.17,1.99,1.4,0.98,0.89,24.15
599,59.9,1008.01,1031.75,4.22,2.17,1.97,1.39,0.96,0.87,24.18
600,60,1012.04,1031.87,4.19,2.14,1.97,1.36,0.95,0.86,24.19
601,60.1,1016.42,1031.76,4.22,2.13,1.97,1.37,0.96,0.87,24.19
602,60.2,1010.06,1031.18,4.21,2.13,1.99,1.37,0.96,0.87,24.21
603,60.3,1013.87,1031.21,4.21,2.14,1.99,1.36,0.96,0.87,24.23
604,60.4,1012.64,1031.3,4.17,2.16,1.96,1.36,0.95,0.87,24.22
605,60.5,1008.15,1031.11,4.23,2.2,1.97,1.39,0.97,0.89,24.21
606,60.6,1005.75,1031.79,4.29,2.22,2.02,1.43,0.98,0.91,24.21
607,60.7,992.97,1031.95,4.26,2.21,1.97,1.39,0.95,0.89,24.22
608,60.8,992.22,1031.29,4.14,2.12,1.91,1.35,0.92,0.87,24.22
609,60.9,996.85,1031.93,4.11,2.1,1.91,1.35,0.92,0.88,24.22
610,61,1001.7,1031.62,4.09,2.1,1.94,1.36,0.94,0.87,24.22
611,61.1,1000.11,1031.15,4.21,2.18,2,1.43,0.99,0.9,24.22
612,61.2,1002.87,1031.57,4.23,2.2,2,1.43,1,0.9,24.21
613,61.3,997.3,1031.47,4.17,2.16,1.97,1.4,0.98,0.89,24.2
614,61.4,1011.59,1031.44,4.17,2.16,1.97,1.4,0.99,0.9,24.2
615,61.5,1014.78,1031.12,4.15,2.17,1.96,1.4,0.99,0.9,24.23
616,61.6,1018.71,1031.77,4.14,2.17,1.96,1.41,0.99,0.89,24.26
617,61.7,1014.83,1031.71,4.13,2.17,1.93,1.4,0.97,0.9,24.26
618,61.8,1020.95,1031.35,4.06,2.14,1.9,1.37,0.93,0.87,24.27
619,61.9,1020.77,1030.8,3.98,2.1,1.87,1.35,0.92,0.85,24.26
620,62,1010,1031.81,4.06,2.16,1.9,1.36,0.94,0.87,24.27
621,62.1,1003.48,1031.49,4.11,2.16,1.9,1.36,0.93,0.87,24.32
622,62.2,997,1031.91,4.03,2.12,1.85,1.33,0.92,0.86,24.32
623,62.3,993.87,1030.5,4.01,2.06,1.84,1.32,0.91,0.85,24.34
624,62.4,986.27,1030.91,3.97,2.04,1.84,1.31,0.91,0.84,24.4
625,62.5,985.79,1031.69,4.01,2.06,1.87,1.33,0.94,0.86,24.43
626,62.6,991.42,1031.69,4.06,2.08,1.91,1.35,0.95,0.87,24.41
627,62.7,987.81,1032.14,4.17,2.13,1.96,1.36,0.96,0.88,24.38
628,62.8,996.13,1031.85,4.21,2.14,1.99,1.39,0.98,0.89,24.36
629,62.9,994.56,1031.64,4.19,2.14,1.99,1.4,0.99,0.9,24.35
630,63,998.07,1031.23,4.17,2.14,2,1.4,0.99,0.89,24.35
631,63.1,1002.45,1031.09,4.06,2.08,1.91,1.36,0.95,0.87,24.36
632,63.2,1018.11,1031.24,4.02,2.06,1.9,1.33,0.92,0.87,24.36
633,63.3,1027.63,1031.15,4.06,2.09,1.9,1.35,0.93,0.87,24.36
634,63.4,1046.1,1030.84,4.17,2.16,1.94,1.39,0.94,0.88,24.39
635,63.5,1053.31,1032.1,4.18,2.14,1.91,1.37,0.92,0.85,24.44
636,63.6,1062.66,1031.29,4.13,2.1,1.88,1.35,0.9,0.85,24.44
637,63.7,1062.05,1031.39,4.06,2.12,1.85,1.36,0.92,0.85,24.43
638,63.8,1047.92,1031.05,4.05,2.09,1.87,1.33,0.91,0.86,24.52
639,63.9,1040.6,1031.83,4.09,2.12,1.91,1.36,0.94,0.88,24.52
640,64,1020.73,1031.25,4.17,2.14,1.96,1.39,0.97,0.9,24.52
641,64.1,1006.08,1030.63,4.23,2.2,1.97,1.41,0.97,0.91,24.49
642,64.2,993.04,1031.36,4.15,2.14,1.93,1.37,0.93,0.88,24.52
643,64.3,970.74,1031.7,4.06,2.12,1.9,1.35,0.91,0.87,24.49
644,64.4,969.28,1031.41,4.03,2.09,1.9,1.33,0.9,0.86,24.44
645,64.5,970.7,1031.39,4.05,2.1,1.88,1.33,0.91,0.87,24.39
646,64.6,981.67,1031.35,4.09,2.12,1.9,1.35,0.92,0.87,24.35
647,64.7,997.66,1031.65,4.06,2.1,1.9,1.36,0.92,0.87,24.33
648,64.8,1009.39,1031.64,3.94,2.05,1.84,1.32,0.89,0.85,24.32
649,64.9,1020.65,1032.02,3.93,2.05,1.81,1.32,0.9,0.85,24.29
650,65,1030.29,1031.32,3.99,2.09,1.87,1.36,0.93,0.87,24.3
651,65.1,1038.77,1031.22,3.86,2.04,1.81,1.33,0.9,0.85,24.31
652,65.2,1049.63,1031.72,3.86,2.04,1.82,1.33,0.9,0.85,24.32
653,65.3,1066.19,1031.28,3.84,2.04,1.79,1.33,0.89,0.85,24.31
654,65.4,1080.8,1031.89,3.86,2.06,1.82,1.33,0.9,0.85,24.3
655,65.5,1095.87,1031.39,3.86,2.05,1.79,1.32,0.88,0.85,24.3
656,65.6,1085.39,1031.17,3.88,2.05,1.79,1.31,0.87,0.84,24.32
657,65.7,1061.24,1031.71,3.93,2.05,1.81,1.31,0.88,0.84,24.42
658,65.8,1046.79,1031.84,3.92,2.05,1.82,1.32,0.9,0.85,24.42
659,65.9,1031.29,1030.94,3.85,2.04,1.79,1.32,0.89,0.85,24.42
660,66,1032.42,1031.83,3.8,2.01,1.81,1.31,0.87,0.84,24.42
661,66.1,1029.87,1030.91,3.84,2.02,1.84,1.31,0.88,0.85,24.43
662,66.2,1032.39,1031.59,3.94,2.06,1.87,1.35,0.91,0.87,24.44
